You entered a buffer length of 20
gx, gy, gz, xavg, yavg, zavg, xmax, ymax, zmax, zmin, ymin, zmin
-0.055606, 0.691509, 0.700421, -0.003656, 0.895532, 0.272087, 0.016786, 0.830190, 0.029238, 0.016786, 0.830190, -0.254959
-0.061466, 0.728743, 0.705548, -0.004437, 0.901642, 0.215846, 0.016786, 0.813709, 0.029238, -0.071232, 0.813709, -0.424403
-0.051944, 0.791857, 0.733748, -0.003644, 0.905146, 0.157255, 0.016786, 0.798816, 0.029238, -0.045596, 0.798816, -0.466276
-0.039980, 0.836660, 0.642190, -0.000885, 0.906458, 0.096698, 0.003235, 0.818104, 0.029238, 0.003235, 0.818104, -0.477385
-0.026918, 0.824452, 0.486663, -0.001111, 0.909852, 0.040780, 0.003235, 0.904535, 0.029238, -0.044497, 0.904535, -0.476164
-0.023500, 0.924068, 0.410975, -0.002240, 0.912098, -0.008173, 0.003235, 0.869377, 0.029238, -0.049503, 0.869377, -0.492401
-0.043887, 0.915278, 0.451138, -0.003272, 0.905634, -0.056021, 0.003235, 0.794787, 0.029238, -0.044131, 0.794787, -0.545993
-0.050967, 0.931392, 0.455045, -0.003967, 0.896319, -0.106745, 0.003235, 0.728987, 0.029238, -0.057804, 0.728987, -0.563328
-0.007386, 0.895501, 0.437222, -0.003650, 0.887084, -0.158793, 0.003235, 0.746689, 0.029238, -0.044619, 0.746689, -0.585912
0.098822, 0.778673, 0.180858, -0.005982, 0.878288, -0.210242, 0.003235, 0.719587, 0.029238, -0.054019, 0.719587, -0.591772
0.013490, 0.970457, 0.225783, -0.015888, 0.872709, -0.256424, 0.003235, 0.667094, 0.029238, -0.099310, 0.667094, -0.742782
0.056339, 0.972166, 0.216871, -0.019807, 0.854160, -0.303247, 0.003235, 0.599463, 0.029238, -0.064884, 0.599463, -0.710676
-0.017762, 0.980956, 0.252396, -0.027730, 0.839248, -0.352707, 0.003235, 0.673930, 0.029238, -0.102118, 0.673930, -0.772325
-0.030580, 1.051395, 0.174510, -0.029799, 0.822835, -0.397998, 0.003235, 0.652689, 0.029238, -0.059147, 0.652689, -0.653421
0.019349, 0.959226, 0.029238, -0.030660, 0.802332, -0.442428, 0.003235, 0.641335, 0.029238, -0.047793, 0.641335, -0.714094
-0.001160, 0.932979, -0.049014, -0.034871, 0.780229, -0.482903, 0.003235, 0.517182, 0.029238, -0.064884, 0.517182, -0.780260
0.068547, 0.952634, -0.119331, -0.042471, 0.757547, -0.523256, 0.003235, 0.479338, 0.029238, -0.153147, 0.479338, -0.856070
-0.015321, 1.002564, -0.094793, -0.045840, 0.728859, -0.561167, 0.001160, 0.378868, 0.029238, 0.001160, 0.378868, -0.877556
0.080022, 0.939938, -0.142770, -0.048007, 0.678679, -0.599805, 0.001160, 0.378868, 0.029238, -0.058658, -0.001038, -0.867546
0.016786, 0.830190, -0.254959, -0.051260, 0.649979, -0.636825, 0.014955, 0.365928, 0.029238, 0.014955, 0.365928, -0.883172
-0.071232, 0.813709, -0.424403, -0.054764, 0.631911, -0.662150, 0.014955, 0.468840, 0.029238, -0.053287, 0.468840, -0.761460
