You entered a buffer length of 100
gx, gy, gz, xavg, yavg, zavg, xmax, ymax, zmax, zmin, ymin, zmin
-0.037783, 0.967894, -0.217482, -0.016474, 0.448138, -0.687973, 0.013123, 0.850333, 0.134469, 0.013123, 0.850333, 0.134469
-0.036074, 0.947629, -0.232131, -0.016097, 0.447030, -0.683719, 0.013123, 0.857169, 0.207959, -0.000061, 0.857169, 0.207959
-0.041568, 0.952756, -0.192334, -0.016018, 0.446519, -0.678589, 0.013123, 0.896478, 0.280840, -0.028139, 0.896478, 0.280840
-0.099676, 0.970457, -0.209669, -0.016103, 0.445982, -0.674199, 0.013123, 0.899042, 0.246658, -0.050113, 0.899042, 0.246658
-0.059147, 1.042849, -0.228224, -0.015777, 0.445545, -0.669428, 0.013123, 0.926753, 0.267411, -0.067082, 0.926753, 0.267411
-0.024355, 0.980468, -0.289019, -0.015687, 0.444600, -0.663701, 0.013123, 0.948361, 0.344442, -0.050113, 0.948361, 0.344442
-0.018006, 0.901361, -0.364219, -0.016120, 0.444121, -0.657272, 0.013123, 0.932613, 0.353964, -0.067692, 0.932613, 0.353964
-0.050113, 0.785021, -0.470549, -0.016568, 0.443813, -0.649348, 0.013123, 0.870476, 0.428188, -0.062809, 0.870476, 0.428188
-0.015321, 0.784899, -0.530123, -0.016435, 0.444149, -0.639758, 0.013123, 0.818714, 0.488372, -0.036806, 0.818714, 0.488372
-0.005799, 0.762315, -0.598364, -0.016919, 0.444234, -0.629357, 0.013123, 0.793322, 0.509980, -0.063664, 0.793322, 0.509980
0.064884, 0.727400, -0.635964, -0.017551, 0.444148, -0.618002, 0.013123, 0.753769, 0.537203, -0.069035, 0.753769, 0.537203
0.024599, 0.720320, -0.699445, -0.018759, 0.444148, -0.605754, 0.013123, 0.727400, 0.588842, -0.055851, 0.727400, 0.588842
0.050235, 0.715559, -0.739120, -0.019553, 0.444011, -0.592702, 0.013123, 0.706647, 0.605689, -0.054874, 0.706647, 0.605689
0.006409, 0.715803, -0.675029, -0.020541, 0.444019, -0.578938, 0.013123, 0.716291, 0.637307, -0.048526, 0.716291, 0.637307
-0.014344, 0.692120, -0.610816, -0.020996, 0.444173, -0.565157, 0.013123, 0.731185, 0.703107, -0.039126, 0.731185, 0.703107
0.003357, 0.634011, -0.647928, -0.021437, 0.444435, -0.551540, 0.013123, 0.718367, 0.750839, -0.058414, 0.718367, 0.750839
0.007386, 0.509247, -0.691265, -0.022592, 0.444836, -0.537323, 0.013123, 0.674052, 0.773790, -0.112128, 0.674052, 0.773790
0.011658, 0.466764, -0.748520, -0.023805, 0.445887, -0.521994, 0.013123, 0.614356, 0.841665, -0.113960, 0.614356, 0.841665
0.018373, 0.361411, -0.841787, -0.024842, 0.447203, -0.505451, 0.013123, 0.598364, 0.905756, -0.091986, 0.598364, 0.905756
-0.013368, 0.151315, -0.944577, -0.025865, 0.449013, -0.487388, 0.013123, 0.542453, 0.964475, -0.083928, 0.542453, 0.964475
-0.013978, 0.105292, -0.968748, -0.026673, 0.452323, -0.468686, 0.013123, 0.482268, 0.925655, -0.094183, 0.482268, 0.925655
0.018129, 0.012513, -1.007203, -0.027450, 0.455711, -0.449974, 0.013123, 0.444180, 0.902460, -0.091741, 0.444180, 0.902460
0.013612, -0.101996, -1.120613, -0.028570, 0.459480, -0.430881, 0.013123, 0.389367, 0.902094, -0.093817, 0.389367, 0.902094
0.024232, -0.100653, -1.116828, -0.029785, 0.463980, -0.410296, 0.013123, 0.347983, 0.937862, -0.107856, 0.347983, 0.937862
0.022157, 0.008118, -1.032839, -0.031500, 0.468228, -0.389243, 0.013123, 0.324178, 0.988525, -0.147287, 0.324178, 0.988525
0.035952, 0.057560, -1.007813, -0.033227, 0.470317, -0.369266, 0.013123, 0.216993, 0.964842, -0.150583, 0.216993, 0.964842
0.038149, 0.107856, -0.975096, -0.034370, 0.471700, -0.349676, 0.013123, 0.195874, 0.951169, -0.078313, 0.195874, 0.951169
0.004212, 0.065739, -0.977416, -0.035689, 0.472025, -0.330008, 0.013123, 0.140328, 0.991699, -0.093817, 0.140328, 0.991699
